name,released,rating,ratings_count,platforms,genres
Winter Memories,2024-01-05 00:00:00,4.83,6,PC,Casual
Winter Memories,2024-01-05 00:00:00,4.83,6,PC,Adventure
Winter Memories,2024-01-05 00:00:00,4.83,6,PC,RPG
Winter Memories,2024-01-05 00:00:00,4.83,6,PC,Simulation
Sonic Triple Trouble 16-Bit (NoahNCopeland),2022-08-02 00:00:00,4.83,6,PC,Indie
Sonic Triple Trouble 16-Bit (NoahNCopeland),2022-08-02 00:00:00,4.83,6,PC,Platformer
Sonic Triple Trouble 16-Bit (NoahNCopeland),2022-08-02 00:00:00,4.83,6,PC,Adventure
Sonic Triple Trouble 16-Bit (NoahNCopeland),2022-08-02 00:00:00,4.83,6,PC,Action
No Case Should Remain Unsolved,2024-01-17 00:00:00,4.83,6,"PC, Nintendo Switch, macOS",Indie
No Case Should Remain Unsolved,2024-01-17 00:00:00,4.83,6,"PC, Nintendo Switch, macOS",Adventure
Hellversus,2022-01-30 00:00:00,4.78,8,Web,Action
Hellversus,2022-01-30 00:00:00,4.78,8,Web,Fighting
Persona 5 Royal,2020-03-31 00:00:00,4.76,509,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",Adventure
Persona 5 Royal,2020-03-31 00:00:00,4.76,509,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",RPG
Geometry Dash RazorLeaf,2023-07-19 00:00:00,4.71,6,"PC, Android",Casual
Geometry Dash RazorLeaf,2023-07-19 00:00:00,4.71,6,"PC, Android",Indie
Geometry Dash RazorLeaf,2023-07-19 00:00:00,4.71,6,"PC, Android",Arcade
Cyberpunk 2077: Phantom Liberty,2023-09-26 00:00:00,4.7,388,"PC, PlayStation 5, Xbox Series S/X",Shooter
Cyberpunk 2077: Phantom Liberty,2023-09-26 00:00:00,4.7,388,"PC, PlayStation 5, Xbox Series S/X",Action
The Binding of Isaac: Repentance,2021-03-31 00:00:00,4.68,121,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",Action
